Name,Sources,Topics,Type,Link,Headline,Questions,Impact,Update,Evidence,Report,Author,Date,URL,Topics_Text
No national definition for essential services access,Not stated,Essential Services; Geographic Scope; Analysis & Insights,Standardisation and Harmonisation,<button type='button' class='btn' id='1'>Details</button>,"No national definition or indicator set for access to 'essential services' like water, energy, transport and digital services.","How should the UK monitor affordability and access to water, energy, transport and digital services?",Lack of common indicators hampers benchmarking and cross?regional comparisons; risks overlooking affordability issues for low?income households.,NA,"There is no national definition of essential services. Neither are there country level, regional or local definitions. There are a variety of indicators of low-income people used but these tend not to be used in relation to access to essential services. The definition of lack ofaccess to essential services due to low income, where it exists, varies with the service in question (p4)
",Access to essential services for low‑income people – United Kingdom,European Social Policy Network,2020,https://www.bristol.ac.uk/media-library/sites/geography/pfrc/ESPN_UK_access_essential_services.pdf,Analysis & Insights (Distributional Analysis); Geographic Scope (UK); Essential Services & Living Conditions (Utilities)
LFS response collapse distorts employment rate,LFS,Economic Resources; Population Groups; Geographic Scope; Analysis & Insights,Data quality; Sufficiency,<button type='button' class='btn' id='2'>Details</button>,"Problems with Labour Force Survey, including declining response rates, potentially increased non-response bias, and a failure to capture recently arrived immigrant workers mean the true UK employment rate is unknown.",What is the UK’s actual employment rate and how accurate are LFS figures?,Inaccurate employment denominator distorts poverty and labour-market analysis,NA,"“…we currently do not know what the UK’s employment rate actually is, due to problems with the Labour Force Survey (LFS), and that this issue has been ongoing for some time.  As the Governor of the Bank of England recently noted, 'it is a substantial problem [...] when we don't know how many people are participating in the economy', with broad implications for UK economic policy making.'"" (p3)

“Between 2019 and 2023, the overall response rate collapsed from 39 per cent to just 13 per cent… the declining response rate is likely… introducing new response biases that are difficult to correct for.” (p4)

""As well as the possibility of a change in general response bias against workers, an
additional possibility is that the LFS has struggled to adequately represent recent arrivals
to the UK since 2020, a period when immigration from beyond the EU has been especially
high."" (p4)
",Get Britain’s Stats Working,Resolution Foundation,2024,https://www.resolutionfoundation.org/publications/get-britains-stats-working/,"Analysis & Insights (Poverty Measurement); Geographic Scope (UK); Population Groups (Migrants); Economic Resources & Living Standards (Employment, Income & Earnings)"
Benefit take-up rates lack official data,Not stated,Economic Resources; Analysis & Insights,Timeliness; Data linkage,<button type='button' class='btn' id='3'>Details</button>,"Lack of official, timely data forces researchers to rely on experimental methods for calculating benefit take-up rates.",How much unclaimed benefits support is there in the North East of England?,Forces reliance on experimental methodologies to estimate unclaimed benefits,NA,"Calculating benefit take up rates is notoriously difficult. The lack of official and recent data means estimates tend to rely on experimental methodologies and figures that are sometimes years old. Existing estimates are commonly created using previously published figures which are adjusted based on inflation and any new information on take up. (p8)
","Missing out: Over £1 billion of
support is unclaimed in North East
England each year",Policy in Practice,2025,https://policyinpractice.co.uk/wp-content/uploads/2024/10/Policy-in-Practice_Missing-out-Over-1-billion-of-support-is-unclaimed-in-North-East-of-England-each-year_compressed.pdf,Analysis & Insights (Targeting & Eligibility); Economic Resources & Living Standards (Benefits & Social Security)
Pupil premium lacks longitudinal eligibility tracking,Not stated,Misc,Wish; Data linkage,<button type='button' class='btn' id='4'>Details</button>,Absence of longitudinal monitoring in pupil premium hides pupils’ poverty trajectories,How do patterns of pupil disadvantage evolve over time and how do they affect educational outcomes?,"Current systems can't understand patterns in pupil need, identify emerging trends, or intelligently design policy",NA,"""Implement longitudinal monitoring of Pupil Premium eligibility.The current system does not adequately track how pupils move in and out of Pupil Premium
eligibility over time. The DfE should introduce a longitudinal monitoring system that captures
these transitions, providing a clearer picture of how disadvantage evolves across a child’s school
life. This data would help policymakers understand patterns in pupil need, identify emerging
trends, and design more responsive interventions that reflect the dynamic nature of deprivation."" (p52)
",Unequal Returns: The case for reforming the Pupil Premium,Centre for Social Justice,2025,https://www.centreforsocialjustice.org.uk/wp-content/uploads/2025/07/CSJ-Unequal_Returns.pdf,
Small Understanding Society samples limit ethnic subgroup analysis,Understanding Society,Population Groups; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='5'>Details</button>,Small sample sizes in survey data limit ability to report on all ethnic sub-groups.,How do experiences of persistent very deep poverty differ across minority ethnic sub-groups?,Hinders ability to provide detailed statistics on smaller ethnic groups’ experiences of poverty.,NA,"""The majority of this analysis is descriptive analysis that compares the persistent very deep poverty rate between people in households headed by people with different ethnic backgrounds. Given the small sample sizes for some sub-groups in the survey, even when data from different waves are pooled, not all breakdowns can be reported.” (p.57)
So far, the large sample size available for analysis in each wave of Understanding Society has allowed us to estimate the overall proportion, and number, of people who moved into and out of very deep poverty and who lived in persistent very deep poverty in the latest four waves of data only. However, to gain more robust insights into the experiences of smaller groups of people across the population, data from the past 10 waves of Understanding Society has been pooled for the following analyses. (p8)
""""We show that a mismatch between Assessment Periods and when people are paid can create income volatility. This is likely to impact about one in six households in work, but without HMRC data, we cannot conclusively say that all of the month on month income volatility is because of a mismatched AP. In addition, our analysis is based on a subset of Universal Credit recipients, people on Universal Credit and claiming council tax support. This covers 46% of all UC households on average in the participating seven councils (measured on Universal Credit recipients at April 2022).
","Bangladeshi, Black African and Pakistani households at higher risk of very deep, long-term poverty",JRF,2024,https://www.jrf.org.uk/race-and-ethnicity/bangladeshi-black-african-pakistani-households-higher-risk-of-very-deep-poverty,Analysis & Insights (Intersectionality & Subgroups); Population Groups (Ethnic Minorities)
Data on poverty premiums by goods and areas are outdated,Census data,Economic Resources; Analysis & Insights,Timeliness,<button type='button' class='btn' id='6'>Details</button>,Data used for analysis of geographical dimension of poverty premium are old and not updated in a timely manner,What is the poverty premium for different goods (components) and at different geographical scales?,Reduced confidence in findings given temporal lag and infrequency of Census data.  ,NA,"The data used is now relatively old, so it is our hope that all of the data sources can be updated in the near future. The census data is over ten years old, meaning that areas which have changed significantly in recent years will be under- or over-estimated. Likewise, the proportion of households experiencing individual premiums and the costs that they endure are also likely to have changed over time – whether as a result of changes in Government policy or commercial practices, or more widespread societal changes; for example, those brought on by the coronavirus pandemic and/or by increasing (although still not universal)uptake and availability of internet access and smartphones. (p20)
",Mapping the poverty premium in Britain,University of Bristol Personal Finance Research Centre,2022,https://www.bristol.ac.uk/geography/research/pfrc/themes/financial-exclusion-poverty/local-poverty-premium/,Analysis & Insights (Poverty Measurement); Economic Resources & Living Standards (Costs & Expenditure)
Annual HBAI snapshots miss poverty persistence over time,FRS / HBAI,Poverty Characteristics; Population Groups; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='7'>Details</button>,"Annual  HBAI data only provides snapshots of very deep poverty, not persistence or transitions over time.",Who remains trapped in very deep poverty long-term? How often do people move into and out of very deep poverty?,Limits ability to understand persistence of very deep poverty and mobility in/out of it,NA,"However, these figures, derived from the Department for Work and Pensions (DWP’s) Households Below Average Income dataset, only take a snapshot of the levels of poverty and very deep poverty each year. They do not give insights into people’s ongoing experiences of very deep poverty, nor their chances of moving into and out of very deep poverty between years. This means they cannot offer insights into people’s enduring experiences of deep hardship and the consequences of this. Without a better understanding of who is more likely to live in very deep poverty for a long period, we are unable to fully understand the extent to which social, economic and structural factors trap many people from minority ethnic communities in poverty. (p8)
","Bangladeshi, Black African and Pakistani households at higher risk of very deep, long-term poverty",JRF,2024,https://www.jrf.org.uk/race-and-ethnicity/bangladeshi-black-african-pakistani-households-higher-risk-of-very-deep-poverty,Analysis & Insights (Transitions & Drivers); Population Groups (Ethnic Minorities); Poverty Characteristics (Deep Poverty)
Insufficient data for preventative vs reactive spending,Not stated,Essential Services; Analysis & Insights,Wish,<button type='button' class='btn' id='8'>Details</button>,"Insufficient granular data limits robust, causal comparisons between preventative and reactive homelessness spending.",How cost-effective are preventative measures compared with reactive homelessness spending?,Makes it difficult for the Treasury and other decision-makers to justify or target investment in prevention.  Have to rely on international or small-scale research,NA,"“While the long-term cost-effectiveness of preventative measures is intuitively compelling, robust, causal evidence directly comparing it to reactive spending remains limited. In the absence of sufficiently granular data, valuable insights can be drawn from international examples and smaller-scale research.” (p. 5)
",A smarter approach to homelessness,Institute for Government & Centre for Homelessness Impact,2025,https://www.instituteforgovernment.org.uk/sites/default/files/2025-05/A-smarter-approach-to-homelessness.pdf,Analysis & Insights (Prevention); Essential Services & Living Conditions (Housing & Homelessness)
Northern Ireland's health + social care statistics can't be compared with other nations,Devolved data,Economic Resources; Essential Services; Population Groups; Geographic Scope,Standardisation and Harmonisation,<button type='button' class='btn' id='9'>Details</button>,"Northern Irish health and social care statistics are not readily available in a comparable way to other UK nations, leading to exclusion from analysis",What are the rates of unclaimed Attendance Allowance across the UK nations?,NI excluded from analysis entirely,NA,"Many of the statistics used to calculate current take up derive from Stat Xplore, which holds benefit data for England, Wales and Scotland. Comparable statistics are not readily available for Northern Ireland and so Northern Ireland has been excluded from this current analysis.  (p5)
",People of pension age may be missing out on £5.2bn,Policy in Practice,2023,https://policyinpractice.co.uk/wp-content/uploads/2024/10/Unclaimed-Attendance-Allowance_report-by-Policy-in-Practice-for-MSE_Dec23_compressed.pdf,Geographic Scope (Devolved Nations); Essential Services & Living Conditions (Health & Care); Population Groups (Other); Economic Resources & Living Standards (Benefits & Social Security)
Poverty data missing for specific protected groups,FRS / HBAI,Population Groups; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='10'>Details</button>,"Breakdowns of poverty rates for specific groups are hard to get, (specifically by sexuality, gender reassignment, religion, and pregnancy)",How common is poverty for specific groups?,Poverty among some groups will be invisible / less visible.,NA,"Data on sexuality, gender reassignment, religion and pregnancy are rarely collected when measuring poverty, and it is consequently difficult to report on experience of poverty among these groups. (p18)
",The Inequality of Poverty,University of Bristol Personal Finance Research Centre,2021,https://www.bristol.ac.uk/media-library/sites/geography/pfrc/The-Inequality-of-Poverty-Full-Report.pdf,Analysis & Insights (Intersectionality & Subgroups); Population Groups (Other)
